Key,Alert Category,Date of Response,Time of Response,Date of Crime,Time of Crime,Crime Category,Location of Crime,Suspect Description,Suspect in Custody,Update,Link
39,Timely Warning,2/17/2022,10:21 AM,2/16/2022,6:15 AM,Arson,York Hall,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-2-17-3.html
40,Timely Warning,2/17/2022,5:58 PM,2/17/2022,,Attempted E-Bike / Motor Vehicle Theft,Warren Lecture Hall,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-2-17-4.html
41,Timely Warning,2/23/2022,6:50 PM,2/23/2022,,Motor Vehicle Theft,La Jolla Trolley Platform,Yes,Yes,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-2-23-3.html
42,Reissued 2021 UC San Diego Annual Security and Fire Safety Report,3/4/2022,,,,Reissued 2021 UC San Diego Annual Security and Fire Safety Report - Updated Policies,,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-3-4-2.html
43,Timely Warning,3/8/2022,5:17 PM,3/6/2022,1:00 AM,Sexual Assault,Revelle College,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-3-8-3.html
44,Timely Warning,3/16/2022,11:01 AM,3/16/2022,6:30 AM,Burglary,Mesa Housing,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-3-16-2.html
45,Community Alert Bulletin,3/22/2022,7:09 PM,3/22/2022,7:05 PM,Indecent Exposure,School of Medicine - Holly Building,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-3-22-4.html
46,Timely Warning,4/14/2022,7:22 PM,4/14/2022,6:30 PM,Robbery,Central Campus Trolley Station,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-4-14-5.html
47,Triton Alert Bulletin,4/26/2022,,,,Avoid Area,,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-4-26-5.html
48,Community Alert Bulletin,4/26/2022,,,,Streets Reopened,,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-4-26-6.html
49,Annual Campus Lighting & Safety Review Walks,5/3/2022,,,,Annual Campus Lighting & Safety Review Walks,,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-5-3-2.html
50,Timely Warning,6/3/2022,5:12 PM,6/3/2022,5:53 AM,Aggrevated Assault,La Jolla Shores Hotel,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-6-3-2.html
51,Community Alert Bulletin,6/3/2022,5:12 PM,6/3/2022,5:53 AM,Aggrevated Assault,La Jolla Shores Hotel,Yes,No,50,https://adminrecords.ucsd.edu/Notices/2022/2022-6-5-1.html
52,Timely Warning,6/12/2022,9:28 AM,6/12/2022,,Arson,Leichtag Biomedical Research Building,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-6-12-1.html
53,Community Alert Bulletin,6/13/2022,5:00 PM,6/13/2022,4:30 PM,Stalking,Biological Grade Parking Lot #011,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-6-13-4.html
54,Timely Warning,6/16/2022,11:28 PM,6/13/2022,3:10 PM,Intimidation - Sexual Orientation Bias,UCSD Hillcrest Hospital,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-6-17-2.html
55,Timely Warning,6/22/2022,2:29 AM,6/22/2022,1:45 AM,Robbery,UCSD Medical Center Hillcrest Parking Lot,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-6-22-2.html
56,Timely Warning,8/8/2022,5:01 AM,8/8/2022,3:30 AM,Burglary,1000 York Lane,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-8-8-3.html
57,Crime Alert Bulletin,9/11/2022,4:27 AM,9/11/2022,,Forced Entry Into Occupied Residence,South Mesa Apartments,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-9-11-1.html
58,Crime Alert Bulletin,9/22/2022,8:50 PM,9/22/2022,,Aggrevated Assault,The Rita Atkinson Residences,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-9-24-1.html
59,Notice of the 2022 UC San Diego Annual Security and Fire Safety Report ,9/30/2022,,,,Notice of the 2022 UC San Diego Annual Security and Fire Safety Report,,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-9-30-2.html
60,Timely Warning,10/4/2022,1:33 AM,10/4/2022,,Sexual Assault,Mesa Housing Pedestrian Bike Bridge,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-10-4-2.html
61,Community Alert Bulletin,10/11/2022,10:33 AM,10/11/2022,10:28 AM,Anonymouse Phone Threats,"online, phone calls",Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-10-11-4.html
62,Timely Warning,10/11/2022,9:10 PM,10/11/2022,8:50 PM,Attempted Strong-Arm Robbery,UC Health Trolley Stop,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-10-12-2.html
63,Community Alert Bulletin,11/15/2022,,,,Avoid Area,Voigt Drive & Matthews Lane,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-11-15-2.html
64,Community Alert Bulletin,11/16/2022,,,,Avoid Area,Voigt Drive & Matthews Lane,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-11-16-4.html
65,Community Alert Bulletin,11/16/2022,2:20 PM,,,Avoid Area,Voigt Drive,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-11-16-5.html
66,Community Alert Bulletin,11/17/2022,,,,Avoid Area,Voigt Drive & Matthews Lane,,,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-11-17-3.html
67,Timely Warning,11/27/2022,3:10 PM,,,Sexual Assault Unknown Perpetrator,Nueva West Housing Street Corner Community Store,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-11-27-1.html
68,Information on Jacobs Medical Center Incident,12/15/2022,5:50 AM,,,Information on Jacobs Medical Center Incident,Jacobs Medical Center,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2022/2022-12-15-3.html
69,Timely Warning,1/7/2023,1:00 PM,12/20/2022,,Burglary,ERC,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-1-7-1.html
70,Timely Warning,2/16/2023,8:57 AM,2/16/2023,7:50 AM,Attempted Robbery,UC San Diego Medical - Hillcrest Arbor Parking Structure,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-2-16-3.html
71,Timely Warning,2/21/2023,7:16 PM,2/21/2023,7:00 PM,Robbery,Library Walk near The Trove,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-2-21-4.html
72,Timely Warning,2/25/2023,9:17 AM,2/25/2023,6:45 AM,Sexual Battery,Sulpizio Cardiovascular Center at UC San Diego Health,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-2-25-1.html
73,Timely Warning,2/28/2023,,2/21/2023,7:00 PM,Robbery,Library Walk near The Trove,Yes,Yes,71,https://adminrecords.ucsd.edu/Notices/2023/2023-2-28-4.html
74,Timely Warning,3/16/2023,9:54 AM,3/16/2023,9:00 AM,Attempted Robbery,UC San Diego Health Medical Offices South (4168 Front St.),Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-3-16-5.html
75,Community Alert Bulletin,3/19/2023,,6/13/2022,4:30 PM,Indecent Exposure,Biological Grade Parking Lot #011,Yes,Yes,53,https://adminrecords.ucsd.edu/Notices/2023/2023-3-19-1.html
76,Timely Warning,4/15/2023,3:20 PM,4/15/2023,8:00 AM,Burglary,Marshall Lower – Freedom building,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-4-16-1.html
77,Timely Warning,4/22/2023,11:04 PM,,,Attempted Burglary,"Marshall Lower Apartments, ""Empower"" Building",No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-4-23-1.html
78,Timely Warning,5/2/2023,,5/2/2023,11:00 a.m.,Robbery,Central Campus Trolley platform,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-5-2-2.html
79,Timely Warning,6/2/2023,4:45 PM,6/2/2023,1:00 AM,Burglary,Eleanor Roosevelt College residence halls,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2023/2023-6-3-1.html
